data,turno,premio1,premio2,premio3,premio4,premio5,premio6,premio7,premio8,premio9,premio10
13/10/2022,Tarde,6658,5683,3550,7243,4708,7640,6563,6537,0896,9335
13/10/2022,Manhã,2592,1691,5777,7230,9765,9110,1123,8808,8027,4872
12/10/2022,Noite,2049,3594,0666,0133,8002,9156,2638,6668,9537,3835
12/10/2022,Tarde,1508,8370,5370,3312,8978,6032,0631,5260,2573,2972
12/10/2022,Manhã,2144,8632,8564,4799,1481,5507,6246,9232,6311,2835
11/10/2022,Noite,1493,4763,9046,2971,6781,7718,1766,2088,2905,4973
11/10/2022,Tarde,0585,0390,8761,6648,2315,6334,5182,2371,1268,8488
11/10/2022,Manhã,5426,1447,2546,0577,4091,3973,6540,5659,3129,5129
10/10/2022,Noite,2758,3324,8235,1020,8996,4988,3500,6712,2543,4383
10/10/2022,Tarde,0544,6173,3534,0322,4611,8604,9624,7741,9066,1828
10/10/2022,Manhã,2289,4744,4745,0804,1700,3793,1965,6353,3972,4723
08/10/2022,Noite,4952,0994,1651,4776,8337,5608,4960,6573,8562,1833
08/10/2022,Tarde,6196,5725,6948,3303,5248,4739,9794,0608,5607,2242
08/10/2022,Manhã,1642,0092,5236,1427,9255,5109,5404,5419,2510,8104
07/10/2022,Noite,0338,8654,6943,1424,5793,2035,4835,3859,7611,6642
07/10/2022,Tarde,0102,5405,5496,8285,6112,3130,4933,3648,1936,3270
07/10/2022,Manhã,8676,4646,4080,1312,0390,2311,7412,8801,9631,2073
06/10/2022,Noite,2308,5182,4552,9471,1820,1072,7304,6553,3581,7187
06/10/2022,Tarde,0201,9570,1524,0837,2195,8680,7202,7142,4793,5483
06/10/2022,Manhã,3466,5644,5458,3620,3362,9553,9010,6667,7259,0456
05/10/2022,Noite,6604,7654,7772,7655,7853,1845,9035,4993,3846,8105
05/10/2022,Tarde,5960,3169,2072,5741,6427,7174,3717,0246,4147,1890
05/10/2022,Manhã,3881,3594,1590,6658,0905,0890,7188,1677,7359,5643
04/10/2022,Noite,4432,6814,2176,1530,5897,2454,1570,2486,8829,1686
04/10/2022,Tarde,9601,5624,5565,7397,4596,8696,2438,7871,1930,2554
04/10/2022,Manhã,3080,7067,5407,0482,6082,0820,7035,0573,6546,8765
